,NumandName,market,product,Num,Name
0,1101　台泥,上市,水泥工業,1101,台泥
1,1102　亞泥,上市,水泥工業,1102,亞泥
2,1103　嘉泥,上市,水泥工業,1103,嘉泥
3,1104　環泥,上市,水泥工業,1104,環泥
4,1108　幸福,上市,水泥工業,1108,幸福
5,1109　信大,上市,水泥工業,1109,信大
6,1110　東泥,上市,水泥工業,1110,東泥
7,1201　味全,上市,食品工業,1201,味全
8,1203　味王,上市,食品工業,1203,味王
9,1210　大成,上市,食品工業,1210,大成
10,1213　大飲,上市,食品工業,1213,大飲
11,1215　卜蜂,上市,食品工業,1215,卜蜂
12,1216　統一,上市,食品工業,1216,統一
13,1217　愛之味,上市,食品工業,1217,愛之味
14,1218　泰山,上市,食品工業,1218,泰山
15,1219　福壽,上市,食品工業,1219,福壽
16,1220　台榮,上市,食品工業,1220,台榮
17,1225　福懋油,上市,食品工業,1225,福懋油
18,1227　佳格,上市,食品工業,1227,佳格
19,1229　聯華,上市,食品工業,1229,聯華
20,1231　聯華食,上市,食品工業,1231,聯華食
21,1232　大統益,上市,食品工業,1232,大統益
22,1233　天仁,上市,食品工業,1233,天仁
23,1234　黑松,上市,食品工業,1234,黑松
24,1235　興泰,上市,食品工業,1235,興泰
25,1236　宏亞,上市,食品工業,1236,宏亞
26,1256　鮮活果汁-KY,上市,食品工業,1256,鮮活果汁-KY
27,1301　台塑,上市,塑膠工業,1301,台塑
28,1303　南亞,上市,塑膠工業,1303,南亞
29,1304　台聚,上市,塑膠工業,1304,台聚
30,1305　華夏,上市,塑膠工業,1305,華夏
31,1307　三芳,上市,塑膠工業,1307,三芳
32,1308　亞聚,上市,塑膠工業,1308,亞聚
33,1309　台達化,上市,塑膠工業,1309,台達化
34,1310　台苯,上市,塑膠工業,1310,台苯
35,1312　國喬,上市,塑膠工業,1312,國喬
36,1313　聯成,上市,塑膠工業,1313,聯成
37,1314　中石化,上市,塑膠工業,1314,中石化
38,1315　達新,上市,塑膠工業,1315,達新
39,1316　上曜,上市,建材營造業,1316,上曜
40,1319　東陽,上市,汽車工業,1319,東陽
41,1321　大洋,上市,塑膠工業,1321,大洋
42,1323　永裕,上市,塑膠工業,1323,永裕
43,1324　地球,上市,塑膠工業,1324,地球
44,1325　恆大,上市,塑膠工業,1325,恆大
45,1326　台化,上市,塑膠工業,1326,台化
46,1337　再生-KY,上市,塑膠工業,1337,再生-KY
47,1338　廣華-KY,上市,汽車工業,1338,廣華-KY
48,1339　昭輝,上市,汽車工業,1339,昭輝
49,1340　勝悅-KY,上市,塑膠工業,1340,勝悅-KY
50,1341　富林-KY,上市,塑膠工業,1341,富林-KY
51,1342　八貫,上市,其他業,1342,八貫
52,1402　遠東新,上市,紡織纖維,1402,遠東新
53,1409　新纖,上市,紡織纖維,1409,新纖
54,1410　南染,上市,紡織纖維,1410,南染
55,1413　宏洲,上市,紡織纖維,1413,宏洲
56,1414　東和,上市,紡織纖維,1414,東和
57,1416　廣豐,上市,其他業,1416,廣豐
58,1417　嘉裕,上市,紡織纖維,1417,嘉裕
59,1418　東華,上市,紡織纖維,1418,東華
60,1419　新紡,上市,紡織纖維,1419,新紡
61,1423　利華,上市,紡織纖維,1423,利華
62,1432　大魯閣,上市,貿易百貨業,1432,大魯閣
63,1434　福懋,上市,紡織纖維,1434,福懋
64,1435　中福,上市,其他業,1435,中福
65,1436　華友聯,上市,建材營造業,1436,華友聯
66,1437　勤益控,上市,其他業,1437,勤益控
67,1438　三地開發,上市,建材營造業,1438,三地開發
68,1439　雋揚,上市,紡織纖維,1439,雋揚
69,1440　南紡,上市,紡織纖維,1440,南紡
70,1441　大東,上市,紡織纖維,1441,大東
71,1442　名軒,上市,建材營造業,1442,名軒
72,1443　立益物流,上市,其他業,1443,立益物流
73,1444　力麗,上市,紡織纖維,1444,力麗
74,1445　大宇,上市,紡織纖維,1445,大宇
75,1446　宏和,上市,紡織纖維,1446,宏和
76,1447　力鵬,上市,紡織纖維,1447,力鵬
77,1449　佳和,上市,紡織纖維,1449,佳和
78,1451　年興,上市,紡織纖維,1451,年興
79,1452　宏益,上市,紡織纖維,1452,宏益
80,1453　大將,上市,建材營造業,1453,大將
81,1454　台富,上市,紡織纖維,1454,台富
82,1455　集盛,上市,紡織纖維,1455,集盛
83,1456　怡華,上市,建材營造業,1456,怡華
84,1457　宜進,上市,紡織纖維,1457,宜進
85,1459　聯發,上市,紡織纖維,1459,聯發
86,1460　宏遠,上市,紡織纖維,1460,宏遠
87,1463　強盛,上市,紡織纖維,1463,強盛
88,1464　得力,上市,紡織纖維,1464,得力
89,1465　偉全,上市,紡織纖維,1465,偉全
90,1466　聚隆,上市,紡織纖維,1466,聚隆
91,1467　南緯,上市,紡織纖維,1467,南緯
92,1468　昶和,上市,紡織纖維,1468,昶和
93,1470　大統新創,上市,紡織纖維,1470,大統新創
94,1471　首利,上市,電子零組件業,1471,首利
95,1472　三洋實業,上市,紡織纖維,1472,三洋實業
96,1473　台南,上市,紡織纖維,1473,台南
97,1474　弘裕,上市,紡織纖維,1474,弘裕
98,1475　業旺,上市,紡織纖維,1475,業旺
99,1476　儒鴻,上市,紡織纖維,1476,儒鴻
100,1477　聚陽,上市,紡織纖維,1477,聚陽
101,1503　士電,上市,電機機械,1503,士電
102,1504　東元,上市,電機機械,1504,東元
103,1506　正道,上市,電機機械,1506,正道
104,1512　瑞利,上市,汽車工業,1512,瑞利
105,1513　中興電,上市,電機機械,1513,中興電
106,1514　亞力,上市,電機機械,1514,亞力
107,1515　力山,上市,電機機械,1515,力山
108,1516　川飛,上市,其他業,1516,川飛
109,1517　利奇,上市,電機機械,1517,利奇
110,1519　華城,上市,電機機械,1519,華城
111,1521　大億,上市,汽車工業,1521,大億
112,1522　堤維西,上市,汽車工業,1522,堤維西
113,1524　耿鼎,上市,汽車工業,1524,耿鼎
114,1525　江申,上市,汽車工業,1525,江申
115,1526　日馳,上市,電機機械,1526,日馳
116,1527　鑽全,上市,電機機械,1527,鑽全
117,1528　恩德,上市,電機機械,1528,恩德
118,1529　樂事綠能,上市,電機機械,1529,樂事綠能
119,1530　亞崴,上市,電機機械,1530,亞崴
120,1531　高林股,上市,電機機械,1531,高林股
121,1532　勤美,上市,電機機械,1532,勤美
122,1533　車王電,上市,汽車工業,1533,車王電
123,1535　中宇,上市,電機機械,1535,中宇
124,1536　和大,上市,汽車工業,1536,和大
125,1537　廣隆,上市,電機機械,1537,廣隆
126,1538　正峰,上市,電機機械,1538,正峰
127,1539　巨庭,上市,電機機械,1539,巨庭
128,1540　喬福,上市,電機機械,1540,喬福
129,1541　錩泰,上市,電機機械,1541,錩泰
130,1558　伸興,上市,電機機械,1558,伸興
131,1560　中砂,上市,電機機械,1560,中砂
132,1568　倉佑,上市,汽車工業,1568,倉佑
133,1582　信錦,上市,電子零組件業,1582,信錦
134,1583　程泰,上市,電機機械,1583,程泰
135,1587　吉茂,上市,汽車工業,1587,吉茂
136,1589　永冠-KY,上市,電機機械,1589,永冠-KY
137,1590　亞德客-KY,上市,電機機械,1590,亞德客-KY
138,1597　直得,上市,電機機械,1597,直得
139,1598　岱宇,上市,生技醫療業,1598,岱宇
140,1603　華電,上市,電器電纜,1603,華電
141,1604　聲寶,上市,電器電纜,1604,聲寶
142,1605　華新,上市,電器電纜,1605,華新
143,1608　華榮,上市,電器電纜,1608,華榮
144,1609　大亞,上市,電器電纜,1609,大亞
145,1611　中電,上市,電器電纜,1611,中電
146,1612　宏泰,上市,電器電纜,1612,宏泰
147,1614　三洋電,上市,電器電纜,1614,三洋電
148,1615　大山,上市,電器電纜,1615,大山
149,1616　億泰,上市,電器電纜,1616,億泰
150,1617　榮星,上市,電器電纜,1617,榮星
151,1618　合機,上市,電器電纜,1618,合機
152,1626　艾美特-KY,上市,電器電纜,1626,艾美特-KY
153,1701　中化,上市,生技醫療業,1701,中化
154,1702　南僑,上市,食品工業,1702,南僑
155,1707　葡萄王,上市,生技醫療業,1707,葡萄王
156,1708　東鹼,上市,化學工業,1708,東鹼
157,1709　和益,上市,化學工業,1709,和益
158,1710　東聯,上市,化學工業,1710,東聯
159,1711　永光,上市,化學工業,1711,永光
160,1712　興農,上市,化學工業,1712,興農
161,1713　國化,上市,化學工業,1713,國化
162,1714　和桐,上市,化學工業,1714,和桐
163,1717　長興,上市,化學工業,1717,長興
164,1718　中纖,上市,化學工業,1718,中纖
165,1720　生達,上市,生技醫療業,1720,生達
166,1721　三晃,上市,化學工業,1721,三晃
167,1722　台肥,上市,化學工業,1722,台肥
168,1723　中碳,上市,化學工業,1723,中碳
169,1725　元禎,上市,化學工業,1725,元禎
170,1726　永記,上市,化學工業,1726,永記
171,1727　中華化,上市,化學工業,1727,中華化
172,1730　花仙子,上市,化學工業,1730,花仙子
173,1731　美吾華,上市,生技醫療業,1731,美吾華
174,1732　毛寶,上市,化學工業,1732,毛寶
175,1733　五鼎,上市,生技醫療業,1733,五鼎
176,1734　杏輝,上市,生技醫療業,1734,杏輝
177,1735　日勝化,上市,化學工業,1735,日勝化
178,1736　喬山,上市,生技醫療業,1736,喬山
179,1737　臺鹽,上市,食品工業,1737,臺鹽
180,1752　南光,上市,生技醫療業,1752,南光
181,1760　寶齡富錦,上市,生技醫療業,1760,寶齡富錦
182,1762　中化生,上市,生技醫療業,1762,中化生
